Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,TargetClass
1973-05-24,0.0,3.90625,3.8125,3.890625,1.5305569171905518,16000,15.908979715431583,1.7184032535552978,1.7150646747327363,1.6264469861984252,1.7871028499529475,1.4657911224439029,1.5674370527267456,1
1973-05-25,0.0,4.046875,3.875,3.984375,1.5674370527267456,57600,27.659381319763693,1.7153298592567443,1.7092753562226974,1.621222186088562,1.7824452582459358,1.4599991139311883,1.5735845565795898,1
1973-05-29,0.0,4.078125,3.953125,4.0,1.5735845565795898,18400,32.55803464714664,1.7131170082092284,1.703954148393556,1.6116946518421174,1.7593043073455688,1.464084996338666,1.5244101285934448,0
1973-05-30,0.0,3.984375,3.875,3.875,1.5244101285934448,19200,27.45088346075525,1.7102894711494445,1.6969132064406105,1.6012450873851776,1.7420084816834758,1.4604816930868794,1.5367037057876587,1
1973-05-31,0.0,3.9375,3.84375,3.90625,1.5367037057876587,12000,34.78249504616552,1.707953679561615,1.6906304809248085,1.592332226037979,1.7251269604659814,1.4595374916099768,1.5244101285934448,0
1973-06-01,0.0,3.875,3.8125,3.875,1.5244101285934448,19200,27.272775356259906,1.7051261425018311,1.6841120357353432,1.5840340375900268,1.7116746848228925,1.456393390357161,1.5244101285934448,0
1973-06-04,0.0,3.875,3.8125,3.875,1.5244101285934448,13600,31.579003776666323,1.7019298028945924,1.6778492158474256,1.5745064973831178,1.6887410839314227,1.4602719108348128,1.4998223781585693,0
1973-06-05,0.0,3.890625,3.8125,3.8125,1.4998223781585693,16800,33.3332794621501,1.698118772506714,1.6708677712321764,1.5646716117858888,1.6680271249584537,1.4613160986133238,1.5244101285934448,1
1973-06-06,0.0,3.875,3.84375,3.875,1.5244101285934448,138400,40.00005818077445,1.6947994971275329,1.6651243342659516,1.557602769136429,1.6506658697235208,1.464539668549337,1.4813823699951172,0
1973-06-07,0.0,3.8125,3.75,3.765625,1.4813823699951172,36800,37.20944497213179,1.6888985490798951,1.6579187670396445,1.5483825385570527,1.6324176072588013,1.464347469855304,1.5059694051742554,1
1973-06-08,0.0,3.859375,3.8125,3.828125,1.5059694051742554,4800,43.4782810330733,1.6825058698654174,1.6519599685351194,1.5425430357456207,1.6208527340564034,1.464233337434838,1.487528920173645,0
1973-06-11,0.0,3.84375,3.78125,3.78125,1.487528920173645,23200,43.47822604173166,1.6732856559753417,1.6455116921287871,1.5345521807670592,1.599269792827779,1.4698345687063394,1.55514395236969,1
1973-06-12,0.0,4.0,3.828125,3.953125,1.55514395236969,11200,56.36361136028976,1.6657865595817567,1.641967859197058,1.5317861199378968,1.5868515769842941,1.4767206628914995,1.5920240879058838,1
1973-06-13,0.0,4.046875,4.0,4.046875,1.5920240879058838,8800,59.32189851585795,1.6593938398361205,1.6400092799307375,1.5327080965042115,1.5912293015178096,1.4741868914906133,1.5920240879058838,0
1973-06-14,0.0,4.046875,4.046875,4.046875,1.5920240879058838,4800,58.62055475268719,1.653247013092041,1.6381275076944688,1.5336300730705261,1.595356081158987,1.4719040649820652,1.5367037057876587,0
1973-06-15,0.0,4.0,3.875,3.90625,1.5367037057876587,20800,45.90173315944724,1.6474690198898316,1.6341501036981232,1.5330154240131377,1.5943406723228573,1.4716901757034182,1.4936755895614624,0
1973-06-18,0.0,3.875,3.796875,3.796875,1.4936755895614624,26400,40.29844870700498,1.6409533953666686,1.628641299222176,1.5305566906929016,1.5941238539233176,1.4669895274624856,1.4690885543823242,0
1973-06-19,0.0,3.75,3.71875,3.734375,1.4690885543823242,80800,42.85709888049077,1.6361588835716248,1.6223843288362996,1.5277906119823457,1.5970441551145276,1.4585370688501638,1.4629422426223755,0
1973-06-20,0.0,3.765625,3.6875,3.71875,1.4629422426223755,26400,40.322592753627724,1.631856119632721,1.616131698004381,1.5253319084644317,1.6001931496094042,1.4504706673194592,1.4445010423660278,0
1973-06-21,0.0,3.6875,3.671875,3.671875,1.4445010423660278,5600,39.682466876816235,1.6260781121253967,1.6094010840577788,1.521336454153061,1.6044767691637827,1.4381961391423392,1.4383541345596313,0
1973-06-22,0.0,3.75,3.65625,3.65625,1.4383541345596313,30400,39.0624185616919,1.6180872440338134,1.6026933605480476,1.516726315021515,1.607581274826604,1.4258713552164257,1.4629422426223755,1
1973-06-25,0.0,3.796875,3.6875,3.71875,1.4629422426223755,24800,45.31259706301153,1.6092358446121215,1.5972129245509623,1.5115015745162963,1.6020956976368508,1.4209074513957418,1.4813823699951172,1
1973-06-26,0.0,3.765625,3.703125,3.765625,1.4813823699951172,12000,44.44442734241308,1.6009991192817687,1.5926705498624978,1.5068914651870728,1.5934787616814625,1.4203041686926832,1.5059694051742554,1
1973-06-27,0.0,3.828125,3.703125,3.828125,1.5059694051742554,63200,53.333311784755566,1.5942376232147217,1.589270504972763,1.5059694290161132,1.5921630949277288,1.4197757631044976,1.5305569171905518,1
1973-06-28,0.0,3.9375,3.828125,3.890625,1.5305569171905518,31200,53.33337212072316,1.5879678773880004,1.5869680113342448,1.505662089586258,1.5914371477462352,1.4198870314262808,1.6166119575500488,1
1973-06-29,0.0,4.140625,3.9375,4.109375,1.6166119575500488,22400,64.78875470809601,1.5844027400016785,1.5881305190289823,1.5102721810340882,1.609193508873912,1.4113508531942645,1.622759461402893,1
1973-07-02,0.0,4.15625,4.0625,4.125,1.622759461402893,23200,59.01647318553016,1.5814522862434388,1.5894885167691357,1.5151896476745605,1.6261193697160377,1.4042599256330834,1.6411986351013184,1
1973-07-03,0.0,4.171875,4.125,4.171875,1.6411986351013184,47200,56.896571325393055,1.5788706159591674,1.5915163645468684,1.522258460521698,1.6463071903283262,1.3982097307150698,1.788722276687622,1
1973-07-05,0.0,4.546875,4.25,4.546875,1.788722276687622,40000,69.5122343477498,1.5789935398101806,1.5992499297288587,1.535474067926407,1.7075197809828584,1.3634283548699555,1.801016092300415,1
1973-07-06,0.0,4.625,4.53125,4.578125,1.801016092300415,57600,78.66657012938151,1.5807146430015564,1.6071623282610765,1.5514557540416718,1.7582239049852924,1.3446876030980512,1.7272547483444214,0
1973-07-09,0.0,4.53125,4.390625,4.390625,1.7272547483444214,24800,73.75004060552905,1.5808376026153566,1.6118718349310117,1.56252002120018,1.782311785076106,1.3427282573242538,1.7456960678100586,1
1973-07-10,0.0,4.46875,4.390625,4.4375,1.7456960678100586,20800,78.4810605130723,1.5823128628730774,1.6171198440635233,1.5754283785820007,1.806700502409754,1.3441562547542474,1.7764297723770142,1
