Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,Target,TargetClass
1989-01-16,0.1636430025100708,0.1636430025100708,0.1636430025100708,0.1636430025100708,-79975.6328125,0,4.546895866236562,-67490.257734375,-69392.7392070434,-72512.0625,-64658.58497252576,-80365.54002747424,-78811.0234375,1164.609375,1
1989-01-17,0.1612599939107895,0.1612599939107895,0.1612599939107895,0.1612599939107895,-78811.0234375,0,13.637053808539143,-67758.13515625,-69762.08368666915,-73055.593359375,-65031.4899180492,-81079.69680070078,-80752.203125,-1941.1796875,0
1989-01-18,0.16523200273513794,0.16523200273513794,0.16523200273513794,0.16523200273513794,-80752.203125,0,13.236200195197478,-68064.836171875,-70193.06876268213,-73696.183203125,-65352.25787497482,-82040.10853127517,-90458.1953125,-9705.9921875,0
1989-01-19,0.1850920021533966,0.1850920021533966,0.1850920021533966,0.1850920021533966,-90458.1953125,0,7.758985883006837,-68550.125546875,-70987.77960777303,-74802.647265625,-63960.50342602591,-85644.79110522408,-90458.1953125,0.0,0
1989-01-20,0.1850920021533966,0.1850920021533966,0.1850920021533966,0.1850920021533966,-90458.1953125,0,7.758985883006837,-69035.414921875,-71751.3253216839,-75909.111328125,-63452.24593662865,-88365.97671962135,-88128.953125,2329.2421875,1
1989-01-23,0.18032599985599518,0.18032599985599518,0.18032599985599518,0.18032599985599518,-88128.953125,0,16.405977335026197,-69474.119453125,-72393.58523553943,-76899.11328125,-63845.88485481831,-89952.3417076817,-90846.25,-2717.296875,0
1989-01-24,0.18588599562644958,0.18588599562644958,0.18588599562644958,0.18588599562644958,-90846.25,0,16.030459772233755,-69971.060078125,-73117.21914787122,-78024.980078125,-64221.395831223555,-91828.56432502644,-96087.8046875,-5241.5546875,0
1989-01-25,0.19661100208759308,0.19661100208759308,0.19661100208759308,0.19661100208759308,-96087.8046875,0,13.63613199433311,-70572.831796875,-74018.0264239351,-79354.69296875,-63977.48831735995,-94731.89762014004,-93952.0625,2135.7421875,1
1989-01-26,0.19224099814891815,0.19224099814891815,0.19224099814891815,0.19224099814891815,-93952.0625,0,18.903655699820785,-71108.586640625,-74799.75332887881,-80499.959765625,-64336.28587738851,-96663.63365386149,-96669.8515625,-2717.7890625,0
1989-01-27,0.19780200719833374,0.19780200719833374,0.19780200719833374,0.19780200719833374,-96669.8515625,0,18.34409708330952,-71698.697265625,-75657.40424000121,-81761.71484375,-64664.76199416547,-98858.66769333453,-97058.40625,-388.5546875,0
1989-01-30,0.1985969990491867,0.1985969990491867,0.1985969990491867,0.1985969990491867,-97058.40625,0,18.23622866685337,-72312.110234375,-76496.65922078547,-83042.89765625,-65373.617078559655,-100712.17823394036,-98611.03125,-1552.625,0
1989-01-31,0.201774001121521,0.201774001121521,0.201774001121521,0.201774001121521,-98611.03125,0,16.4776522407442,-72956.575703125,-77363.88949644096,-84401.71171875,-66316.20318385691,-102487.22025364309,-102881.46875,-4270.4375,0
1989-02-01,0.21051199734210968,0.21051199734210968,0.21051199734210968,0.21051199734210968,-102881.46875,0,15.10455139615668,-73694.220703125,-78364.57887893346,-85867.28515625,-66756.1199366097,-104978.4503758903,-102105.3671875,776.1015625,1
1989-02-02,0.20892399549484253,0.20892399549484253,0.20892399549484253,0.20892399549484253,-102105.3671875,0,18.13145781804391,-74451.278125,-79295.59018515176,-87255.226171875,-67641.6201881637,-106868.8321555863,-105211.203125,-3105.8359375,0
