Date,Open,High,Low,Close,Adj Close,Volume,RSI,ATR,WMA,PlusDI,MinusDI,ADX,ROC_20,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,ROI,Target,TargetClass
1995-10-10,0.7142670154571533,0.7184950113296509,0.706026017665863,0.7163820266723633,43753748.0,229724,59.32811441782906,0.019879771130425588,42693995.84761905,30.972319704026862,26.492806834310457,28.767750542861506,13.000218801336437,39655301.12,40731871.181636766,42632116.6,46497250.200954005,38766982.999046,43366476.0,-0.8851173161211241,-387272.0,0
1995-10-11,0.7100409865379333,0.7184950113296509,0.7087739706039429,0.7100409865379333,43366476.0,136860,62.762834032266746,0.019457059247153147,43046410.17142857,29.327848388300183,25.08617467603375,27.166524475284042,12.299390628544437,39748229.52,40835189.017651014,42869598.4,46249114.3969579,39490082.4030421,44269976.0,2.083406546568368,903500.0,1
1995-10-12,0.7079280018806458,0.7311729788780212,0.7079280018806458,0.7248340249061584,44269976.0,562099,74.5233076789264,0.018551345382417952,43608292.22857143,33.506717403755836,24.721000110409822,25.73437017258684,11.945238594956265,39869552.4,40969886.54637058,43105792.2,46151065.51275893,40060518.88724107,46464056.0,4.9561355081827925,2194080.0,1
1995-10-13,0.7313860058784485,0.7607579827308655,0.7273709774017334,0.7607579827308655,46464056.0,1251292,77.02675125090711,0.019305914640426636,44069362.55238095,41.03055680913899,22.021256824353973,25.01057447702803,12.499888623694911,40039918.88,41185344.17200311,43363923.8,46632259.222150765,40095588.37784923,46593116.0,0.2777630949824957,129060.0,1
1995-10-16,0.7313860058784485,0.7628710269927979,0.7273709774017334,0.7628710269927979,46593116.0,552326,69.5438884463921,0.01855113250868661,44198559.428571425,40.418636345346656,21.24740549402179,25.40260677366385,10.43107855056613,40225774.4,41397413.65545397,43583978.0,47103112.25075233,40064843.74924767,47496612.0,1.9391190750152876,903496.0,1
1995-10-17,0.7734379768371582,0.7818920016288757,0.7666760087013245,0.7776640057563782,47496612.0,337260,75.99353635680826,0.01900405968938555,44421171.123809524,43.86696257281971,19.231921969395238,25.87182074097755,11.51512675596027,40426861.04,41636597.904259704,43829204.6,47721101.02243272,39937308.17756728,47264280.0,-0.48915488961612674,-232332.0,0
1995-10-18,0.7700579762458801,0.7818920016288757,0.7700579762458801,0.773859977722168,47264280.0,127081,70.43866427111601,0.017585205180304393,44535854.51428571,43.96170402990789,19.273458018465472,26.856344430960934,13.024396710986586,40639047.76,41857291.31977893,44101530.2,48159484.45601425,40043575.94398575,46464056.0,-1.6930840795628326,-800224.0,0
1995-10-19,0.7734379768371582,0.7755510210990906,0.7607579827308655,0.7607579827308655,46464056.0,410580,62.14009677620577,0.017736281667436873,44621036.8,40.4240024495245,21.527810409661456,27.718799674080863,13.70801527969192,40827484.32,42037948.758218974,44381602.8,48267888.74269234,40495316.85730766,46476948.0,0.02774617868056977,12892.0,1
1995-10-20,0.7569540143013,0.7628710269927979,0.7565320134162903,0.7609689831733704,46476948.0,293271,63.93399729612052,0.016377640622002736,44756372.723809525,40.6040463098915,23.494164010266825,27.90528316102207,17.296458100811307,41003273.28,42212027.159857444,44724275.8,48005565.883050665,41442985.71694933,46670680.0,0.41683459938032075,193732.0,1
1995-10-23,0.7607579827308655,0.7641410231590271,0.7527279853820801,0.7641410231590271,46670680.0,625646,64.11086445131228,0.01660407441002982,44892316.60952381,37.704026690746275,23.15468327076893,27.800768414826884,14.43040820093402,41182936.88,42386876.29084343,45018549.4,47835150.63803561,42201948.16196439,46980396.0,0.6636200715309912,309716.0,1
