Date,Open,High,Low,Close,Adj Close,Volume,RSI,ATR,WMA,PlusDI,MinusDI,ADX,ROC_20,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,ROI,Target,TargetClass
2000-03-24,108.26626586914062,111.73291778564453,106.66626739501953,111.73291778564453,134770.921875,595445,44.44444444444444,5.123790740966797,129364.15833333334,22.380615063214236,20.35053965023995,18.014435369756743,13.858676640602742,127385.87234375,130916.8446375657,129286.808984375,139662.7697780842,118910.8481906658,133162.671875,-1.193321213229996,-1608.25,0
2000-03-27,111.99958038330078,111.99958038330078,109.0662612915039,110.39958953857422,133162.671875,423714,51.19996642309158,4.59045900617327,129048.63340773809,23.595201139292442,21.073184465127078,17.041726576523473,14.999994939812433,127340.84109375,131004.91629393568,130155.2609375,138480.99789440204,121829.52398059795,134127.625,0.7246423576614646,964.953125,1
2000-03-28,109.59959411621094,111.73291778564453,109.0662612915039,111.1995849609375,134127.625,444282,55.83334598378515,4.457126072474888,129119.09203869048,22.54615458724088,20.136267192272207,16.203857196168105,8.87727517374648,127366.57296875,131127.37545887937,130702.063671875,138523.31447945614,122880.81286429387,134770.921875,0.47961549680761145,643.296875,1
2000-03-29,109.86625671386719,112.53291320800781,109.59959411621094,111.73291778564453,134770.921875,463782,53.91304329460209,4.361888340541294,128916.91331845238,22.69944217193466,19.09121134859652,15.444876316363068,2.444995731923205,127411.60390625,131270.25963206057,130862.888671875,138887.5694018398,122838.20794191021,136379.171875,1.193321213229996,1608.25,1
2000-03-30,112.7995834350586,115.73290252685547,109.86625671386719,113.06624603271484,136379.171875,1045316,56.30253490148309,4.514269147600446,128803.57209821428,25.462970331527945,17.116672269570202,15.003492663669897,3.6674935978848078,127533.830625,131470.60913178368,131104.126171875,139497.9319138656,122710.32042988438,133805.96875,-1.886800667303143,-2573.203125,0
2000-03-31,113.59957885742188,114.1329116821289,110.13292694091797,110.93292236328125,133805.96875,573564,63.20749874774927,4.323793683733259,129676.61837797619,24.669089626724997,16.58301120535326,15.339604819007569,5.316440066621686,127598.16015625,131562.1918619098,131441.856640625,139691.38202001218,123192.33126123779,137665.78125,2.884634023472888,3859.8125,1
2000-04-03,111.46625518798828,114.1329116821289,110.13292694091797,114.1329116821289,137665.78125,667539,68.69561544220998,4.419031415666852,130810.04702380953,22.399262989168037,15.057192412103637,15.650628822348265,-1.6091870332343605,127765.4175,131801.5483085016,131329.280078125,139141.6871275084,123516.87302874163,147636.890625,7.24298317596625,9971.109375,1
2000-04-04,114.6662368774414,123.19953918457031,114.6662368774414,122.39954376220703,147636.890625,2368771,76.38883758430468,4.704744066510882,132262.06116071428,33.39420084776993,13.124943474468708,16.06326351183279,11.67882254047441,128189.99390625,132422.54212483487,132101.237109375,142794.82261541687,121407.65160333317,138952.34375,-5.882369127550162,-8684.546875,0
2000-04-05,119.7328872680664,119.99955749511719,114.39957427978516,115.19956970214844,138952.34375,1114522,58.78373953959188,4.7618865966796875,132807.33191964286,30.620238261912764,12.437496759991836,18.057774709989907,7.196030554355337,128428.01359375,132678.61277680213,132567.628125,143614.21656841147,121521.0396815885,139274.03125,0.2315092292208997,321.6875,1
2000-04-06,115.46623992919922,116.53289794921875,113.06624603271484,115.46623992919922,139274.03125,469426,56.737595738398824,4.7618865966796875,133067.71547619047,28.418817563500053,13.556352088896412,19.778686349555084,5.609776412965339,128621.00375,132937.25663849615,132937.52578125,144375.13611393896,121499.91544856105,141203.90625,1.3856675093548714,1929.875,1
